term,p_pos,p_neg,class
arejado,0.9819212088505128,0.01807879114948732,positivo
pronto,0.7340425531914894,0.26595744680851063,positivo
diversas,0.9409136047666335,0.05908639523336644,positivo
baiana,0.9662548404941914,0.033745159505808586,positivo
feliz,0.6426137912237667,0.3573862087762333,positivo
baixo,0.7839371019108281,0.216062898089172,positivo
educado,0.912741768787834,0.08725823121216596,positivo
farto,0.9847424766079408,0.015257523392059344,positivo
perfeitos,0.9942283563362608,0.005771643663739021,positivo
atendidos,0.905013532671736,0.09498646732826396,positivo
mini,0.7997200513239241,0.20027994867607604,positivo
externo,0.9501061571125266,0.04989384288747346,positivo
próximo,0.919702555770793,0.08029744422920702,positivo
confuso,0.6554969879518072,0.3445030120481928,positivo
grata,0.9834445927903872,0.016555407209612818,positivo
disponível,0.7718729747245625,0.22812702527543746,positivo
hour,0.9724892974945609,0.027510702505438973,positivo
fartos,0.9908056724326008,0.009194327567399095,positivo
sensacionais,0.9932868577330236,0.006713142266976504,positivo
rústica,0.9422680412371134,0.0577319587628866,positivo
caseiro,0.9770062083237526,0.02299379167624741,positivo
frito,0.8600653501917886,0.13993464980821138,positivo
varias,0.9019021739130436,0.09809782608695652,positivo
agradabilíssimo,0.9932511737089202,0.006748826291079813,positivo
completa,0.7235258724428401,0.27647412755716005,positivo
rapido,0.973740053050398,0.02625994694960212,positivo
solícitos,0.9727242852448242,0.027275714755175814,positivo
ampla,0.9828637815858264,0.017136218414173687,positivo
divertido,0.9850493653032439,0.014950634696755994,positivo
original,0.9177874186550976,0.08221258134490239,positivo
inesquecível,0.9829910141206676,0.017008985879332483,positivo
nobres,0.942655935613682,0.057344064386317915,positivo
duro,0.3809255079006772,0.6190744920993227,negativo
baixa,0.7064039408866996,0.2935960591133005,positivo
antiga,0.8990746718312891,0.100925328168711,positivo
necessário,0.8133855893880012,0.1866144106119988,positivo
locais,0.9226422202687429,0.07735777973125707,positivo
impecáveis,0.9857927026154344,0.01420729738456571,positivo
longa,0.8683510638297872,0.13164893617021275,positivo
infantil,0.91027496382055,0.08972503617945007,positivo
verdadeiro,0.866601752677702,0.13339824732229796,positivo
quentinho,0.9860710854947168,0.013928914505283382,positivo
saudáveis,0.9829586656997824,0.01704133430021755,positivo
profissional,0.8862255232950709,0.1137744767049291,positivo
vermelhas,0.9651162790697676,0.034883720930232565,positivo
sozinho,0.8610478359908884,0.13895216400911162,positivo
alegre,0.9585052549630206,0.04149474503697937,positivo
oriental,0.9519434628975264,0.0480565371024735,positivo
portuguesa,0.924523693209575,0.07547630679042501,positivo
primoroso,0.9931282722513092,0.0068717277486911,positivo
enormes,0.9245852187028658,0.07541478129713422,positivo
vegetariano,0.9468047752808988,0.053195224719101125,positivo
convidativo,0.9573396926338102,0.04266030736618972,positivo
verdadeira,0.8990874932903918,0.10091250670960816,positivo
chinesa,0.9540103016924208,0.045989698307579104,positivo
divinos,0.9972337482710928,0.0027662517289073307,positivo
informal,0.9731592310482408,0.02684076895175916,positivo
maiores,0.8877381938690969,0.11226180613090307,positivo
honestos,0.9751225028269884,0.024877497173011683,positivo
frescas,0.9584592145015106,0.041540785498489434,positivo
seguro,0.9571098647311118,0.042890135268888165,positivo
desagradável,0.3777555110220441,0.6222444889779559,negativo
privilegiada,0.9696210460382084,0.030378953961791418,positivo
generosa,0.9811294183917758,0.018870581608224198,positivo
estranho,0.5313214449016919,0.4686785550983082,positivo
fixo,0.947408829174664,0.05259117082533589,positivo
dura,0.7609125829356304,0.2390874170643697,positivo
suculenta,0.9742636545610524,0.025736345438947667,positivo
velho,0.6589478983136169,0.3410521016863831,positivo
limpos,0.943579766536965,0.05642023346303503,positivo
executivos,0.9583192138258216,0.04168078617417825,positivo
gratuito,0.9675696299122472,0.03243037008775276,positivo
inigualável,0.9969981238273922,0.00300187617260788,positivo
mesmos,0.7627118644067796,0.23728813559322035,positivo
macio,0.963623884694578,0.0363761153054221,positivo
vegetariana,0.9403763318975288,0.059623668102471085,positivo
mediano,0.7855072463768116,0.2144927536231884,positivo
próximas,0.8689320388349514,0.13106796116504854,positivo
novos,0.8904109589041096,0.1095890410958904,positivo
satisfatório,0.9286618826509077,0.07133811734909244,positivo
escuro,0.7370609981515711,0.26293900184842883,positivo
inteiro,0.7930064308681672,0.2069935691318328,positivo
carioca,0.9353067557889712,0.06469324421102889,positivo
presente,0.9160109789569992,0.08398902104300092,positivo
mignon,0.8757440476190477,0.12425595238095237,positivo
fartas,0.9770363951473136,0.02296360485268631,positivo
calmo,0.9822240595287308,0.017775940471269118,positivo
siciliano,0.9484368656110436,0.051563134388956565,positivo
compatíveis,0.9600340136054422,0.03996598639455783,positivo
sujo,0.2636300897170462,0.7363699102829537,negativo
cremoso,0.9445576844679984,0.05544231553200163,positivo
atentos,0.8696947133283693,0.1303052866716307,positivo
climatizado,0.9854031876282152,0.014596812371784756,positivo
atrativo,0.8999560246262093,0.10004397537379067,positivo
coco,0.9343414017133328,0.06565859828666705,positivo
crua,0.3191219924018573,0.6808780075981427,negativo
diversificado,0.9926410466067048,0.0073589533932951765,positivo
razoavel,0.8813559322033898,0.11864406779661014,positivo
decepcionante,0.11686746987951807,0.8831325301204819,negativo
temático,0.9758224336107808,0.024177566389219186,positivo
varios,0.9282124910265612,0.07178750897343862,positivo
jovem,0.9483756119270138,0.0516243880729862,positivo
bonitas,0.9539382772915708,0.046061722708429294,positivo
gigante,0.9034378159757329,0.09656218402426693,positivo
satisfeita,0.887062404870624,0.11293759512937596,positivo
suave,0.978125,0.021875,positivo
alemã,0.9568038244835241,0.04319617551647601,positivo
tranquila,0.9775068071504676,0.022493192849532374,positivo
atento,0.8744939271255061,0.12550607287449392,positivo
doces,0.9652403061864726,0.03475969381352742,positivo
própria,0.8932015429122468,0.10679845708775314,positivo
frita,0.8460510552022855,0.1539489447977145,positivo
educada,0.7702420077681505,0.22975799223184945,positivo
ruins,0.3285457809694793,0.6714542190305206,negativo
